订单日期,产品类别,销售额,数量,地区
2025-01-15,电子产品,12500,5,广东
2025-01-18,服装,3200,10,浙江
2025-01-20,家居用品,8500,3,江苏
2025-01-22,电子产品,9800,4,上海
2025-01-25,食品饮料,2100,20,北京
2025-02-01,服装,5600,15,山东
2025-02-05,电子产品,15000,6,广东
2025-02-08,家居用品,6200,2,河南
2025-02-12,食品饮料,3500,30,四川
2025-02-15,服装,4800,12,湖北
2025-02-18,电子产品,11200,5,浙江
2025-02-20,家居用品,9300,4,江苏
2025-03-01,食品饮料,4200,35,广东
2025-03-05,服装,7200,18,上海
2025-03-08,电子产品,18500,7,北京
2025-03-12,家居用品,5800,2,山东
2025-03-15,食品饮料,2800,25,河南
2025-03-18,服装,6500,16,四川
2025-03-22,电子产品,13800,5,湖北
2025-03-25,家居用品,11000,5,广东
2025-04-01,食品饮料,5200,40,浙江
2025-04-05,服装,8900,22,江苏
2025-04-08,电子产品,22000,8,上海
2025-04-12,家居用品,7500,3,北京
2025-04-15,食品饮料,3800,32,山东
2025-04-18,服装,7800,19,河南
2025-04-22,电子产品,16500,6,四川
2025-04-25,家居用品,9800,4,湖北
2025-05-01,食品饮料,6200,45,广东
2025-05-05,服装,10500,26,浙江
2025-05-08,电子产品,25000,10,江苏
2025-05-12,家居用品,8200,3,上海
2025-05-15,食品饮料,4500,38,北京
2025-05-18,服装,9200,23,山东
2025-05-22,电子产品,19800,7,河南
2025-05-25,家居用品,12000,5,四川
2025-06-01,食品饮料,5800,42,湖北
2025-06-05,服装,11800,28,广东
2025-06-08,电子产品,28500,11,浙江
2025-06-12,家居用品,9500,4,江苏
2025-06-15,食品饮料,5100,40,上海
2025-06-18,服装,10200,25,北京
2025-06-22,电子产品,22000,8,山东
2025-06-25,家居用品,13500,6,河南
2025-07-01,食品饮料,6800,50,四川
2025-07-05,服装,13200,32,湖北
2025-07-08,电子产品,32000,12,广东
2025-07-12,家居用品,11000,5,浙江
2025-07-15,食品饮料,5800,45,江苏
2025-07-18,服装,11500,28,上海
2025-07-22,电子产品,26000,10,北京
2025-07-25,家居用品,15000,7,山东
2025-08-01,食品饮料,7200,55,河南
2025-08-05,服装,14500,35,四川
2025-08-08,电子产品,35000,14,湖北
2025-08-12,家居用品,12500,6,广东
2025-08-15,食品饮料,6500,50,浙江
2025-08-18,服装,12800,32,江苏
2025-08-22,电子产品,28500,11,上海
2025-08-25,家居用品,16800,8,北京
2025-09-01,食品饮料,8000,60,山东
2025-09-05,服装,15800,38,河南
2025-09-08,电子产品,38000,15,四川
2025-09-12,家居用品,14000,7,湖北
2025-09-15,食品饮料,7200,55,广东
2025-09-18,服装,14200,35,浙江
2025-09-22,电子产品,31500,12,江苏
2025-09-25,家居用品,18500,9,上海
2025-10-01,食品饮料,9000,65,北京
2025-10-05,服装,17500,42,山东
2025-10-08,电子产品,42000,16,河南
2025-10-12,家居用品,15500,8,四川
2025-10-15,食品饮料,8200,60,湖北
2025-10-18,服装,15500,38,广东
2025-10-22,电子产品,35000,14,浙江
2025-10-25,家居用品,20000,10,江苏
2025-11-01,食品饮料,10000,72,上海
2025-11-05,服装,19200,46,北京
2025-11-08,电子产品,48000,18,山东
2025-11-12,家居用品,17500,9,河南
2025-11-15,食品饮料,9500,68,四川
2025-11-18,服装,17000,42,湖北
2025-11-22,电子产品,40000,16,广东
2025-11-25,家居用品,22000,11,浙江
2025-12-01,食品饮料,11500,82,江苏
2025-12-05,服装,21000,50,上海
2025-12-08,电子产品,52000,20,北京
2025-12-12,家居用品,19000,10,山东
2025-12-15,食品饮料,10800,76,河南
2025-12-18,服装,18800,46,四川
2025-12-22,电子产品,45000,18,湖北
2025-12-25,家居用品,24000,12,广东
2025-01-10,电子产品,8500,3,福建
2025-02-10,服装,4200,11,安徽
2025-03-10,家居用品,7800,3,辽宁
2025-04-10,食品饮料,3200,28,陕西
2025-05-10,电子产品,14500,6,江西
2025-06-10,服装,9800,24,重庆
2025-07-10,家居用品,10500,5,天津
2025-08-10,食品饮料,5500,42,云南
2025-09-10,电子产品,20000,8,广西
2025-10-10,服装,12500,30,山西
2025-11-10,家居用品,13500,7,贵州
2025-12-10,食品饮料,7500,55,黑龙江
