date,value
2023-01-01,120
2023-01-02,135
2023-01-03,118
2023-01-04,142
2023-01-05,138
2023-01-06,125
2023-01-07,145
2023-01-08,160
2023-01-09,152
2023-01-10,148
2023-01-11,165
2023-01-12,170
2023-01-13,158
2023-01-14,175
2023-01-15,180
2023-01-16,172
2023-01-17,185
2023-01-18,190
2023-01-19,182
2023-01-20,195
2023-01-21,200
2023-01-22,192
2023-01-23,205
2023-01-24,210
2023-01-25,202
2023-01-26,215
2023-01-27,220
2023-01-28,212
2023-01-29,225
2023-01-30,230
2023-01-31,222
2023-02-01,235
2023-02-02,240
2023-02-03,232
2023-02-04,245
2023-02-05,250
2023-02-06,242
2023-02-07,255
2023-02-08,260
2023-02-09,252
2023-02-10,265
2023-02-11,270
2023-02-12,262
2023-02-13,275
2023-02-14,280
2023-02-15,272
2023-02-16,285
2023-02-17,290
2023-02-18,282
2023-02-19,295
2023-02-20,300
2023-02-21,292
2023-02-22,305
2023-02-23,310
2023-02-24,302
2023-02-25,315
2023-02-26,320
2023-02-27,312
2023-02-28,325
2023-03-01,330
2023-03-02,322
2023-03-03,335
2023-03-04,340
2023-03-05,332
2023-03-06,345
2023-03-07,350
2023-03-08,342
2023-03-09,355
2023-03-10,360
2023-03-11,352
2023-03-12,365
2023-03-13,370
2023-03-14,362
2023-03-15,375
2023-03-16,380
2023-03-17,372
2023-03-18,385
2023-03-19,390
2023-03-20,382
2023-03-21,395
2023-03-22,400
2023-03-23,392
2023-03-24,405
2023-03-25,410
2023-03-26,402
2023-03-27,415
2023-03-28,420
2023-03-29,412
2023-03-30,425
2023-03-31,430
2023-04-01,422
2023-04-02,435
2023-04-03,440
2023-04-04,432
2023-04-05,445
2023-04-06,450
2023-04-07,442
2023-04-08,455
2023-04-09,460
2023-04-10,452
