日期,地区,产品类别,产品,销售数量,销售额,利润
2024-01-15,华东,电子产品,手机,120,480000,96000
2024-01-15,华东,电子产品,笔记本,85,680000,136000
2024-01-15,华北,电子产品,手机,95,380000,76000
2024-01-15,华北,服装,上衣,200,80000,24000
2024-01-16,华东,电子产品,平板,60,210000,42000
2024-01-16,华东,服装,裤子,180,72000,21600
2024-01-16,华南,电子产品,手机,150,600000,120000
2024-01-16,华南,食品,零食,500,25000,7500
2024-01-17,华北,电子产品,笔记本,70,560000,112000
2024-01-17,华北,食品,饮料,300,18000,5400
2024-01-17,华东,服装,上衣,150,60000,18000
2024-01-17,华南,电子产品,平板,80,280000,56000
2024-01-18,华东,食品,零食,450,22500,6750
2024-01-18,华北,电子产品,手机,110,440000,88000
2024-01-18,华南,服装,裤子,220,88000,26400
2024-01-18,华南,食品,饮料,350,21000,6300
2024-01-19,华东,电子产品,笔记本,95,760000,152000
2024-01-19,华北,服装,上衣,180,72000,21600
2024-01-19,华南,电子产品,手机,130,520000,104000
2024-01-19,华东,食品,饮料,280,16800,5040
2024-01-20,华北,电子产品,平板,50,175000,35000
2024-01-20,华南,服装,上衣,160,64000,19200
2024-01-20,华东,电子产品,手机,140,560000,112000
2024-01-20,华南,食品,零食,480,24000,7200
2024-01-21,华北,电子产品,笔记本,75,600000,120000
2024-01-21,华东,服装,裤子,200,80000,24000
2024-01-21,华南,电子产品,平板,70,245000,49000
2024-01-21,华北,食品,饮料,320,19200,5760
2024-01-22,华东,电子产品,手机,105,420000,84000
2024-01-22,华南,电子产品,笔记本,90,720000,144000
2024-01-22,华北,服装,裤子,190,76000,22800
2024-01-22,华东,食品,零食,520,26000,7800
