岗位名称,薪资,城市,技能要求
Python开发工程师,15-25K/月,北京,Python Django RESTful API 数据库
Java高级工程师,20-35K/月,上海,Java SpringBoot 微服务 MySQL Redis
前端开发工程师,12-20K/月,广州,React Vue JavaScript TypeScript
数据分析师,10-18K/月,深圳,Python SQL Tableau 数据可视化
算法工程师,25-45K/月,北京,Python 机器学习 深度学习 TensorFlow PyTorch
测试工程师,8-15K/月,杭州,Python Selenium 自动化测试 Jmeter
运维工程师,10-20K/月,成都,Linux Docker Kubernetes Shell
产品经理,15-30K/月,上海,产品设计 需求分析 Axure 数据分析
UI设计师,10-18K/月,深圳,Figma Sketch Photoshop 交互设计
后端开发工程师,18-30K/月,杭州,Go 微服务 PostgreSQL Redis
Python爬虫工程师,12-22K/月,广州,Python Scrapy 正则表达式 MongoDB
大数据开发工程师,20-35K/月,北京,Hadoop Spark Flink Hive Java
Android开发工程师,15-28K/月,深圳,Kotlin Android Jetpack 网络编程
iOS开发工程师,15-28K/月,上海,Swift iOS Objective-C Xcode
全栈开发工程师,18-32K/月,杭州,React Node.js MongoDB Express
Go开发工程师,18-30K/月,北京,Go gRPC Docker Kubernetes 微服务
C++开发工程师,20-38K/月,上海,C++ Qt 多线程 网络编程
DBA数据库工程师,15-28K/月,深圳,MySQL PostgreSQL Oracle 性能调优
安全工程师,15-30K/月,北京,渗透测试 安全审计 WAF 漏洞挖掘
云计算工程师,18-32K/月,杭州,AWS 阿里云 Docker Kubernetes Terraform
AI工程师,25-50K/月,北京,Python 自然语言处理 计算机视觉 大模型
区块链开发工程师,20-40K/月,上海,Solidity Web3 Truffle 智能合约
游戏开发工程师,18-35K/月,深圳,Unity C# 游戏引擎 物理引擎
嵌入式开发工程师,12-22K/月,成都,C 嵌入式 Linux 单片机 RTOS
PHP开发工程师,10-18K/月,广州,PHP Laravel MySQL Nginx Redis
数据分析工程师,12-22K/月,杭州,Python Pandas NumPy SQL 数据挖掘
BI工程师,12-20K/月,上海,Tableau Power BI SQL 数据仓库 ETL
架构师,30-55K/月,北京,系统架构 微服务 分布式 高并发 技术选型
技术经理,25-45K/月,深圳,团队管理 技术规划 项目管理 代码审查
DevOps工程师,15-28K/月,杭州,CI/CD Jenkins Gitlab Docker Kubernetes
