review_id,review_date,rating,wait_time,taste,service,comment
R000180,2024-01-01,5.0,11,4.2,4.2,味道非常棒，服务态度也很好，下次还会再来！
R000522,2024-01-01,4.3,17,2.3,3.2,今天点的菜都很好吃，服务员也很贴心。
R000559,2024-01-01,4.4,17,3.4,3.5,今天点的菜都很好吃，服务员也很贴心。
R001083,2024-01-01,3.5,14,3.9,4.2,普通的餐厅，没有太多特色。
R000163,2024-01-02,5.0,3,3.6,3.6,环境不错，菜品精致，服务员很有耐心。
R000303,2024-01-02,5.0,9,3.7,2.9,美食与服务兼具，值得推荐给大家！
R000421,2024-01-02,5.0,3,3.6,5.0,口味正宗，服务热情，是我喜欢的餐厅。
R000979,2024-01-02,3.6,4,2.6,2.4,普通的一餐，没有特别惊喜的地方。
R001147,2024-01-02,3.4,12,2.8,2.5,普通的餐厅，没有太多特色。
R001457,2024-01-02,4.0,22,3.0,3.7,口味正宗，服务热情，是我喜欢的餐厅。
R000610,2024-01-03,4.9,19,3.7,4.0,他们家的菜真的很合我口味，服务也到位。
R000032,2024-01-04,5.0,3,3.6,4.6,他们家的菜真的很合我口味，服务也到位。
R000231,2024-01-04,3.6,13,2.6,2.3,味道过得去，服务也还行，价格稍贵。
R000683,2024-01-04,3.9,13,3.0,3.0,味道还可以，服务一般，整体中规中矩吧。
R000367,2024-01-05,3.8,23,3.1,3.6,味道中规中矩，服务态度一般般。
R000391,2024-01-05,2.5,19,1.9,2.5,普通的餐厅，没有太多特色。
R000432,2024-01-05,1.5,18,2.7,1.1,踩雷了，这家店的味道和服务都不行。
R001265,2024-01-05,4.0,17,3.3,3.5,口味正宗，服务热情，是我喜欢的餐厅。
R001298,2024-01-05,3.9,3,3.1,3.1,味道过得去，服务也还行，价格稍贵。
R000150,2024-01-06,3.5,35,2.9,3.4,普通的一餐，没有特别惊喜的地方。
R000845,2024-01-06,5.0,3,4.1,3.3,菜品色香味俱全，服务员态度超好。
R000797,2024-01-07,4.3,18,3.1,3.4,今天用餐很愉快，菜品美味，服务周到。
R000921,2024-01-07,4.6,23,4.7,3.9,强烈推荐这家餐厅，味道好，服务一流！
R000291,2024-01-08,4.2,3,3.8,3.1,菜品口味极佳，服务员很热情，整体体验很棒。
R000907,2024-01-08,3.0,4,3.1,1.8,普通的一餐，没有特别惊喜的地方。
R001114,2024-01-08,4.2,14,2.7,3.7,环境不错，菜品精致，服务员很有耐心。
R001192,2024-01-08,3.0,13,2.6,1.7,整体感觉一般，可能不会特意再来。
R001357,2024-01-08,3.9,9,3.0,1.8,味道中规中矩，服务态度一般般。
R001468,2024-01-08,4.4,10,3.6,4.3,今天点的菜都很好吃，服务员也很贴心。
R000860,2024-01-09,4.7,18,3.5,3.5,环境不错，菜品精致，服务员很有耐心。
R001473,2024-01-09,4.0,4,3.8,3.7,菜品和服务都属于一般水平，不难吃也不惊艳。
R000184,2024-01-10,4.9,17,3.3,3.2,强烈推荐这家餐厅，味道好，服务一流！
R000734,2024-01-10,2.2,22,2.3,2.4,整体体验很差，味道和服务都不行。
R000225,2024-01-11,4.1,7,3.1,3.1,口味正宗，服务热情，是我喜欢的餐厅。
R000679,2024-01-11,3.9,31,4.3,3.8,味道中规中矩，服务态度一般般。
R000746,2024-01-11,3.1,15,2.7,3.0,菜品口味还行，服务态度马马虎虎。
R001041,2024-01-11,5.0,9,4.0,5.0,菜品色香味俱全，服务员态度超好。
R001441,2024-01-11,4.8,22,2.9,2.9,今天点的菜都很好吃，服务员也很贴心。
R001294,2024-01-12,4.7,7,3.6,3.9,慕名而来，果然名不虚传，味道和服务都很好。
R000003,2024-01-13,4.5,8,3.4,2.8,菜品色香味俱全，服务员态度超好。
R000464,2024-01-13,4.2,20,3.8,3.7,服务员很专业，菜品也很美味，点赞！
R000484,2024-01-13,3.8,21,3.3,3.4,味道还可以，服务一般，整体中规中矩吧。
R000591,2024-01-13,3.9,17,3.8,2.3,菜品和服务都还过得去，性价比一般。
