id,name,category,followers,likes,comments,posts_per_month
1,美食家小林,美食,52000,12500,320,18
2,旅途中的阿杰,旅游,128000,28600,950,12
3,科技达人Leo,科技,350000,62000,2100,8
4,吃货日记,美食,28000,6800,180,22
5,背包客小雨,旅游,76000,15200,480,15
6,极客小王,科技,89000,21500,620,10
7,烘焙狂魔,美食,156000,38400,1120,16
8,环球旅行家,旅游,520000,98000,3500,6
9,数码评测君,科技,210000,45800,1450,11
10,深夜食堂,美食,45000,11200,290,20
11,云端漫步者,旅游,92000,22800,720,14
12,硬件发烧友,科技,175000,38900,1200,9
13,美食摄影师,美食,68000,15800,420,17
14,自驾游达人,旅游,58000,13500,380,16
15,AI前沿观察,科技,420000,75000,2800,7
