入住日期,退房日期,房间类型,价格,客户来源渠道
2025-01-03,2025-01-05,标准间,380,携程
2025-01-04,2025-01-06,标准间,380,携程
2025-01-04,2025-01-07,大床房,450,携程
2025-01-05,2025-01-07,大床房,450,美团
2025-01-05,2025-01-08,套房,880,携程
2025-01-06,2025-01-08,标准间,380,携程
2025-01-06,2025-01-09,大床房,450,携程
2025-01-07,2025-01-09,标准间,380,直接预订
2025-01-07,2025-01-09,套房,880,携程
2025-01-08,2025-01-10,标准间,380,携程
2025-01-08,2025-01-11,大床房,450,美团
2025-01-09,2025-01-11,标准间,380,携程
2025-01-09,2025-01-12,套房,880,携程
2025-01-10,2025-01-12,大床房,450,携程
2025-01-10,2025-01-13,标准间,380,飞猪
2025-01-11,2025-01-13,标准间,380,携程
2025-01-11,2025-01-14,大床房,450,携程
2025-01-12,2025-01-14,套房,880,美团
2025-01-12,2025-01-15,标准间,380,携程
2025-01-13,2025-01-15,标准间,380,直接预订
2025-01-13,2025-01-16,大床房,450,Booking
2025-01-14,2025-01-16,标准间,380,携程
2025-01-14,2025-01-17,套房,880,携程
2025-01-15,2025-01-17,大床房,450,携程
2025-01-15,2025-01-18,标准间,380,美团
2025-01-16,2025-01-18,标准间,380,携程
2025-01-16,2025-01-19,大床房,450,携程
2025-01-17,2025-01-19,套房,880,携程
2025-01-17,2025-01-20,标准间,380,飞猪
2025-01-18,2025-01-20,标准间,380,携程
2025-01-18,2025-01-21,大床房,450,美团
2025-01-19,2025-01-21,标准间,380,携程
2025-01-19,2025-01-22,套房,880,直接预订
2025-01-20,2025-01-22,大床房,450,携程
2025-01-20,2025-01-23,标准间,380,携程
2025-01-21,2025-01-23,标准间,380,Booking
2025-01-21,2025-01-24,大床房,450,携程
2025-01-22,2025-01-24,套房,880,美团
2025-01-22,2025-01-25,标准间,380,携程
2025-01-23,2025-01-25,标准间,380,飞猪
2025-02-01,2025-02-03,套房,980,携程
2025-02-01,2025-02-04,标准间,450,携程
2025-02-02,2025-02-04,大床房,550,携程
2025-02-02,2025-02-05,标准间,450,美团
2025-02-03,2025-02-05,标准间,450,携程
2025-02-03,2025-02-06,大床房,550,携程
2025-02-04,2025-02-06,套房,980,携程
2025-02-04,2025-02-07,标准间,450,直接预订
2025-02-05,2025-02-07,标准间,450,携程
