order_id,return_reason,product_category,price_range,purchase_season,quantity,return_date
R001,尺码不合,服装,100-200,夏季,1,2025-07-15
R002,色差严重,服装,100-200,夏季,2,2025-07-18
R003,质量瑕疵,电子产品,500-1000,冬季,1,2025-12-10
R004,与描述不符,家居用品,200-500,春季,1,2025-03-22
R005,尺码不合,服装,100-200,夏季,1,2025-06-28
R006,物流损坏,电子产品,500-1000,秋季,1,2025-09-14
R007,不喜欢,服装,100-200,夏季,3,2025-08-02
R008,色差严重,家居用品,200-500,春季,1,2025-04-05
R009,质量瑕疵,食品,0-100,夏季,5,2025-07-20
R010,与描述不符,电子产品,500-1000,冬季,1,2025-11-30
R011,尺码不合,服装,100-200,秋季,2,2025-10-08
R012,包装破损,食品,0-100,春季,3,2025-03-15
R013,色差严重,服装,200-500,夏季,1,2025-08-10
R014,质量瑕疵,家居用品,200-500,秋季,1,2025-09-25
R015,物流损坏,电子产品,1000以上,冬季,1,2025-12-20
R016,不喜欢,食品,0-100,夏季,2,2025-07-05
R017,尺码不合,服装,100-200,春季,1,2025-04-18
R018,与描述不符,家居用品,200-500,夏季,1,2025-06-12
R019,色差严重,服装,100-200,冬季,2,2025-12-05
R020,质量瑕疵,电子产品,500-1000,秋季,1,2025-10-22
R021,物流损坏,家居用品,200-500,春季,1,2025-03-28
R022,不喜欢,服装,100-200,夏季,1,2025-08-18
R023,尺码不合,服装,200-500,夏季,1,2025-07-25
R024,包装破损,食品,0-100,冬季,4,2025-11-15
R025,色差严重,家居用品,100-200,秋季,1,2025-09-08
R026,质量瑕疵,服装,100-200,夏季,2,2025-08-22
R027,与描述不符,电子产品,1000以上,春季,1,2025-04-10
R028,物流损坏,食品,0-100,夏季,3,2025-07-30
R029,尺码不合,服装,100-200,冬季,1,2025-12-28
R030,不喜欢,家居用品,200-500,秋季,1,2025-10-15
R031,色差严重,服装,200-500,春季,1,2025-05-02
R032,质量瑕疵,电子产品,500-1000,夏季,1,2025-07-12
R033,与描述不符,食品,0-100,冬季,2,2025-11-22
R034,物流损坏,服装,100-200,秋季,1,2025-09-30
R035,尺码不合,家居用品,200-500,夏季,1,2025-08-05
R036,包装破损,食品,0-100,春季,5,2025-04-25
R037,不喜欢,服装,100-200,夏季,2,2025-06-20
R038,色差严重,电子产品,500-1000,冬季,1,2025-12-15
R039,质量瑕疵,服装,200-500,秋季,1,2025-10-01
R040,与描述不符,家居用品,100-200,夏季,1,2025-07-08
R041,尺码不合,服装,100-200,夏季,1,2025-08-28
R042,物流损坏,电子产品,1000以上,春季,1,2025-03-10
R043,不喜欢,食品,0-100,秋季,3,2025-09-18
R044,色差严重,服装,100-200,冬季,1,2025-11-28
R045,质量瑕疵,家居用品,200-500,夏季,1,2025-07-22
R046,与描述不符,服装,200-500,春季,1,2025-05-10
R047,尺码不合,电子产品,500-1000,夏季,1,2025-08-15
R048,包装破损,食品,0-100,冬季,2,2025-12-08
R049,不喜欢,家居用品,100-200,夏季,1,2025-06-15
R050,色差严重,服装,100-200,秋季,2,2025-10-20
R051,质量瑕疵,食品,0-100,春季,4,2025-04-30
R052,物流损坏,家居用品,200-500,冬季,1,2025-11-20
R053,尺码不合,服装,100-200,夏季,1,2025-07-02
R054,与描述不符,电子产品,500-1000,秋季,1,2025-09-05
R055,不喜欢,服装,100-200,冬季,1,2025-12-25
R056,色差严重,家居用品,200-500,夏季,1,2025-08-08
R057,质量瑕疵,服装,200-500,春季,1,2025-05-15
R058,物流损坏,食品,0-100,夏季,3,2025-07-18
R059,尺码不合,服装,100-200,秋季,1,2025-10-12
R060,包装破损,电子产品,500-1000,冬季,1,2025-11-10
R061,与描述不符,服装,100-200,夏季,2,2025-08-20
R062,不喜欢,家居用品,200-500,春季,1,2025-03-18
R063,色差严重,食品,0-100,夏季,1,2025-07-28
R064,质量瑕疵,电子产品,1000以上,秋季,1,2025-09-22
R065,物流损坏,服装,200-500,冬季,1,2025-12-18
R066,尺码不合,家居用品,100-200,夏季,1,2025-06-25
R067,与描述不符,食品,0-100,春季,2,2025-04-08
R068,不喜欢,服装,100-200,夏季,1,2025-08-12
